year,reserve,dry_kg,wet_kg,total_kg
2019,Les Gavarres…,850810.851942624,4605.761341796262,855416.6132844202
2019,Montes del Cerrato…,0.0,0.0,0.0
2019,Serra d'en Galceràn…,213902.2428025275,5932.093762593292,219834.3365651208
2019,Urkiola…,74423.78976245256,-16662.331124291097,57761.458638161464
2019,Plans de Sió…,550878.085116124,26439.29318579651,577317.3783019205
2019,Prat de Cabanes i Torrebl…,0.0,0.0,0.0
2019,Rias occidentales y Duna…,0.0,0.0,0.0
2019,Sierra Plana de la Borbol…,0.0,0.0,0.0
2019,Basses de l'Albera…,0.0,0.0,0.0
2019,Dunas de Liencres y Estua…,0.0,0.0,0.0
2019,LA GUARGUERA…,0.0,0.0,0.0
2019,Balsa del Pulguer…,0.0,0.0,0.0
2019,Badina Escudera…,0.0,0.0,0.0
2019,Río Guadalmedina…,0.0,0.0,0.0
2019,Alto Navia…,0.0,0.0,0.0
2019,TURBERAS DEL MACIZO DE LO…,0.0,0.0,0.0
2019,Ullals del riu Verd…,0.0,0.0,0.0
2019,TURBERAS DE ACUMUER…,0.0,0.0,0.0
2020,Les Gavarres…,729442.6925605057,187453.60055439433,916896.2931149
2020,Montes del Cerrato…,0.0,0.0,0.0
2020,Serra d'en Galceràn…,286027.9154653555,41509.9359707483,327537.8514361038
2020,Urkiola…,216716.77080042136,51260.216562228765,267976.9873626501
2020,Plans de Sió…,701259.1851392724,79348.6106543999,780607.7957936723
2020,Prat de Cabanes i Torrebl…,0.0,0.0,0.0
2020,Rias occidentales y Duna…,0.0,0.0,0.0
2020,Sierra Plana de la Borbol…,0.0,0.0,0.0
2020,Basses de l'Albera…,0.0,0.0,0.0
2020,Dunas de Liencres y Estua…,0.0,0.0,0.0
2020,LA GUARGUERA…,0.0,0.0,0.0
2020,Balsa del Pulguer…,0.0,0.0,0.0
2020,Badina Escudera…,0.0,0.0,0.0
2020,Río Guadalmedina…,0.0,0.0,0.0
2020,Alto Navia…,0.0,0.0,0.0
2020,TURBERAS DEL MACIZO DE LO…,0.0,0.0,0.0
2020,Ullals del riu Verd…,0.0,0.0,0.0
2020,TURBERAS DE ACUMUER…,0.0,0.0,0.0
2021,Les Gavarres…,453811.7896680963,223154.85561009354,676966.6452781898
2021,Montes del Cerrato…,0.0,0.0,0.0
2021,Serra d'en Galceràn…,325171.85712948,102641.01271121833,427812.8698406983
2021,Urkiola…,103922.51763018148,-41377.00853820407,62545.50909197741
2021,Plans de Sió…,340564.28169734485,244911.6181350668,585475.8998324117
2021,Prat de Cabanes i Torrebl…,0.0,0.0,0.0
2021,Rias occidentales y Duna…,0.0,0.0,0.0
2021,Sierra Plana de la Borbol…,0.0,0.0,0.0
2021,Basses de l'Albera…,0.0,0.0,0.0
2021,Dunas de Liencres y Estua…,0.0,0.0,0.0
2021,LA GUARGUERA…,0.0,0.0,0.0
2021,Balsa del Pulguer…,0.0,0.0,0.0
2021,Badina Escudera…,0.0,0.0,0.0
2021,Río Guadalmedina…,0.0,0.0,0.0
2021,Alto Navia…,0.0,0.0,0.0
2021,TURBERAS DEL MACIZO DE LO…,0.0,0.0,0.0
2021,Ullals del riu Verd…,0.0,0.0,0.0
2021,TURBERAS DE ACUMUER…,0.0,0.0,0.0
2022,Les Gavarres…,175975.98118479011,853.113711028295,176829.09489581842
2022,Montes del Cerrato…,0.0,0.0,0.0
2022,Serra d'en Galceràn…,164724.29216798852,-5.909296795979161e-10,164724.29216798794
2022,Urkiola…,108463.91818632836,18335.242231185774,126799.16041751413
2022,Plans de Sió…,429171.4100720384,138.68084533371137,429310.09091737214
2022,Prat de Cabanes i Torrebl…,0.0,0.0,0.0
2022,Rias occidentales y Duna…,0.0,0.0,0.0
2022,Sierra Plana de la Borbol…,0.0,0.0,0.0
2022,Basses de l'Albera…,0.0,0.0,0.0
2022,Dunas de Liencres y Estua…,0.0,0.0,0.0
2022,LA GUARGUERA…,0.0,0.0,0.0
2022,Balsa del Pulguer…,0.0,0.0,0.0
2022,Badina Escudera…,0.0,0.0,0.0
2022,Río Guadalmedina…,0.0,0.0,0.0
2022,Alto Navia…,0.0,0.0,0.0
2022,TURBERAS DEL MACIZO DE LO…,0.0,0.0,0.0
2022,Ullals del riu Verd…,0.0,0.0,0.0
2022,TURBERAS DE ACUMUER…,0.0,0.0,0.0
