time,year,month,reserve,dry_kg,wet_kg,total_kg
1/31/19,2019,1,Sierra Plana de la Borbolla,-31.84541529,-186.5687528,-218.4141681
1/31/19,2019,1,Rias occidentales y Duna de Oyambre,236.9218549,1465.947398,1702.869253
1/31/19,2019,1,Dunas de Liencres y Estuario del Pas,5.890299128,8.154469361,14.04476849
1/31/19,2019,1,Balsa del Pulguer,42.17601533,-2.36E-12,42.17601533
1/31/19,2019,1,Montes del Cerrato,-126.6520888,-1.907470124,-128.5595589
1/31/19,2019,1,Basses de l'Albera,857.6664427,-1.02E-11,857.6664427
1/31/19,2019,1,Les Gavarres,-3910.959741,7.80E-11,-3910.959741
1/31/19,2019,1,Prat de Cabanes i Torreblanca,382.3405957,-9.38E-12,382.3405957
1/31/19,2019,1,Urkiola,-631.9726599,2.20E-11,-631.9726599
1/31/19,2019,1,Alto Navia,5.73443197,2.622527247,8.356959216
1/31/19,2019,1,Badina Escudera,0.801153144,-4.48E-14,0.801153144
1/31/19,2019,1,LA GUARGUERA,-69.66996267,1.81E-12,-69.66996267
1/31/19,2019,1,TURBERAS DE ACUMUER,0,0,0
1/31/19,2019,1,TURBERAS DEL MACIZO DE LOS INFIERNOS,0,0,0
1/31/19,2019,1,Plans de Sió,363.5497552,3.014256954,366.5640122
1/31/19,2019,1,Serra d'en Galceràn,874.930995,-2.26E-11,874.930995
1/31/19,2019,1,Ullals del riu Verd,0,0,0
1/31/19,2019,1,Río Guadalmedina,0,0,0
2/28/19,2019,2,Sierra Plana de la Borbolla,4051.790353,-8.12E-12,4051.790353
2/28/19,2019,2,Rias occidentales y Duna de Oyambre,2908.669855,-6.33E-12,2908.669855
2/28/19,2019,2,Dunas de Liencres y Estuario del Pas,-723.8897813,1.64E-12,-723.8897813
2/28/19,2019,2,Balsa del Pulguer,115.0090802,-1.12E-12,115.0090802
2/28/19,2019,2,Montes del Cerrato,3885.302925,-4.15E-11,3885.302925
2/28/19,2019,2,Basses de l'Albera,573.8498596,-1.22E-12,573.8498596
2/28/19,2019,2,Les Gavarres,24499.21713,-3.92E-11,24499.21713
2/28/19,2019,2,Prat de Cabanes i Torreblanca,2397.433394,-3.31E-11,2397.433394
2/28/19,2019,2,Urkiola,-7153.460351,1.23E-11,-7153.460351
2/28/19,2019,2,Alto Navia,16.99627333,-3.67E-13,16.99627333
2/28/19,2019,2,Badina Escudera,84.63248175,-8.26E-13,84.63248175
2/28/19,2019,2,LA GUARGUERA,1183.879134,-2.05E-12,1183.879134
2/28/19,2019,2,TURBERAS DE ACUMUER,0,0,0
2/28/19,2019,2,TURBERAS DEL MACIZO DE LOS INFIERNOS,0,0,0
2/28/19,2019,2,Plans de Sió,796.0237395,-1.21E-12,796.0237395
2/28/19,2019,2,Serra d'en Galceràn,-432.3075557,6.57E-12,-432.3075557
2/28/19,2019,2,Ullals del riu Verd,0,0,0
2/28/19,2019,2,Río Guadalmedina,0,0,0
3/31/19,2019,3,Sierra Plana de la Borbolla,448.8664831,34.66611166,483.5325947
3/31/19,2019,3,Rias occidentales y Duna de Oyambre,608.2535967,120.3834202,728.6370169
3/31/19,2019,3,Dunas de Liencres y Estuario del Pas,23.07254899,5.732993786,28.80554278
3/31/19,2019,3,Balsa del Pulguer,15.66185511,0.3413967,16.0032518
3/31/19,2019,3,Montes del Cerrato,1914.764192,3040.526843,4955.291035
3/31/19,2019,3,Basses de l'Albera,164.004378,35.28632478,199.2907028
3/31/19,2019,3,Les Gavarres,4655.217056,14528.39902,19183.61607
